uncertainty	topics_地域	topics_少数民族	topics_种族文化	topics_性别	topics_性傾向	topics_身心障碍	topics_职业教育	topics_宗教	topics_其他	idx
1.0	0	0	0	1	0	0	0	0	0	qid_2431415617741060093
1.0	1	0	0	0	0	0	0	0	0	qid_7905880975449762246
1.0	0	0	0	1	0	0	1	0	0	qid_5124096935909763310
1.0	1	0	0	0	0	0	0	0	0	qid_516720446909919555
1.0	0	0	0	1	0	0	0	0	0	qid_5371652955168684291
1.0	1	0	0	1	0	0	0	0	0	qid_3561365809429788746
1.0	0	0	0	1	0	0	0	0	0	qid_2604274866789753975
1.0	0	0	0	1	0	0	0	0	0	qid_9149427474231744808
1.0	1	0	0	1	0	0	1	0	0	qid_4234265528383489428
1.0	0	0	0	1	0	0	1	0	0	11400
1.0	1	0	0	0	0	0	1	0	0	qid_5380373736016689502
1.0	1	0	1	0	0	0	0	0	0	23686
1.0	1	0	1	1	0	0	0	0	0	21531
1.0	0	0	0	1	0	0	0	0	0	qid_5584571946548620169
1.0	1	0	0	0	0	0	0	0	0	3207
1.0	1	0	0	0	0	0	0	0	0	qid_4611332329134162179
1.0	0	0	0	1	0	0	0	0	0	6965
1.0	0	0	0	1	0	1	0	0	0	qid_225174904250625554
1.0	0	0	0	1	0	0	0	0	0	qid_2311850431860640998
1.0	1	0	0	0	0	0	0	0	0	qid_1244050847946842788
1.0	0	0	0	1	0	0	0	0	0	qid_5259287860836720216
1.0	1	0	0	1	0	0	0	0	0	qid_2530027199225115740
1.0	0	0	0	1	0	0	0	0	0	qid_8750587513348982058
1.0	0	0	0	1	0	0	0	0	0	qid_5270827475900786199
1.0	0	0	0	1	0	0	0	0	0	qid_4226508021416328516
1.0	1	0	0	0	0	0	0	0	0	qid_8605095238012957943
1.0	0	0	0	1	0	0	0	0	0	qid_1428823176752387042
1.0	0	0	0	1	0	0	1	0	0	qid_8626009598206630458
1.0	0	0	0	1	1	0	0	0	0	qid_4918514503576773862
1.0	0	0	0	1	0	0	0	0	0	qid_2325625423463597545
1.0	0	0	0	1	0	0	0	0	0	qid_4093519575149534813
1.0	0	0	0	1	0	0	0	0	0	qid_8923710885938748412
1.0	0	0	0	1	0	0	0	0	0	qid_7221850548996680473
1.0	1	0	0	0	0	0	0	0	0	qid_8055080214106549100
1.0	0	0	0	1	0	0	0	0	0	qid_8546492988102424126
1.0	0	0	0	1	0	0	0	0	0	qid_6250896048374070385
