Question	Potentially_Pejorative
当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？	Potentially
做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？	Potentially
如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？	Potentially
是不是男生都觉得男男同性恋很恶心？	Potentially
作为一名性少数者，你有想哭的时候吗？	Potentially
为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？	Potentially
为什么被称“贤惠”会很气愤？	Potentially
怕因生孩子而耽误事业的女性，她们的事业有多好？	Potentially
婚姻给了你什么样的勇气去当家庭主妇？	Potentially
为什么有些女生会反感「贤惠」这个词？	Potentially
关于软件测试工程师所应该具备的能力，就业前景还有适合女生从事吗？	Potentially
同性恋会觉得双性恋恶心吗?	Potentially
同性恋真的完完全全是正常的吗？	Potentially
三孩政策会使女性在职场中遭遇更多歧视和压力吗？应该怎样的应对？	Potentially
想知道以男性视角，家里有位全职太太（家庭主妇）是种什么感受？	Potentially
女同性恋如何做到 30 岁以后的生活不可悲？	Potentially
同性恋真的让人觉得很恶心吗？	Potentially
如何看待高学历女性成为全职家庭主妇？	Potentially
大学女生成绩普遍比男生好吗，为什么？	Potentially
如何看待女同性恋中的T?	Potentially
人生目标是做家庭主妇很丢人吗	Potentially
有同性恋可以说说自己的故事吗？	Potentially
有什么辨别les的方法吗？	Potentially
要求20多岁的女生贤惠，现实吗？	Potentially
为什么男性的身体（贞操）不如女性的身体（贞操）珍贵？	Potentially
为什么黑人的外貌不符合大部分中国人的审美？	Potentially
你们觉得亚裔在美国是处在种族歧视中的最底层吗？	Potentially
有一个蒙古族男朋友是什么体验？	Potentially
为什么都说日本社会很压抑？变态多是真的吗？日本人好相处吗？日本人都很排外吗？	Potentially
白人女性是不是很美，为什么?	Potentially
在歧视亚裔或华人问题上，是欧洲严重还是美国严重，各有什么特点？	Potentially
中国人喜欢白皮肤是否是民族自信不足的表现（骂之前建议看看问题阐述）?	Potentially
美国只有「黑命贵」，没有「印第安命贵」吗？为什么？	Potentially
现今中国人的种族歧视严重吗？	Potentially
蒙古国女人好看吗？	Potentially
为什么国人普遍接受不了中国女孩和非洲男孩在一起?	Potentially
日本人是怎么看待中国人的？	Potentially
为什么中国有这么多人厌恶韩国人？	Potentially
为什么一些人觉得白人比黑人好看？这种审美观的形成与潜在种族歧视有关吗？	Potentially
如何看待外国人因中国人以白为美而认为中国种族歧视？	Potentially
和壮族人交流有哪些忌讳？	Potentially
如何看待美国黑人男子在上海商场疯狂辱骂中国人二十多分钟？	Potentially
日本人知道自己被称为「日本鬼子」「鬼子」「小日本」吗？	Potentially
我国最文明最先进的民族是白族？	Potentially
南京人怎么看待日本以及日本人？	Potentially
亚裔在美国地位这么低，为什么警察致死的案件比黑裔少得多？	Potentially
维族同胞的体味是遗传的还是后天饮食习惯造成的？	Potentially
你身边的日本朋友都是怎样的人？	Potentially
如何看待美国教授因说中文「内个」，被称冒犯黑人而遭到停课处分？	Potentially
请问维吾尔族男孩子的性格一般是怎样的呢？	Potentially
为什么在中国不会出现明显的种族歧视，而会出现较严重的地域偏见？	Potentially
如何看待杨安泽带妻儿外出购物被美国人歧视，发文称「作为亚裔感到羞耻」？	Potentially
蒙古族人和汉族人会拥有爱情吗？	Potentially
回族姑娘怎么样？	Potentially
为什么现实里面日本人说话很委婉，甚至觉得中国人普通交流都像骂人？	Potentially
为什么肤白会成为美女标准？	Potentially
上海的地域歧视有多严重？	Potentially
东北人脾气真的有那么暴躁吗？	Potentially
外省人怎么看待浙江人?	Potentially
浙江会在不久未来下落到第二梯队吗？	Potentially
网上各种黑东北，怎样和东北人相处？	Potentially
为什么最近一年河南人的口碑突然变好了？	Potentially
潮汕人给你的感觉是什么样子的？	Potentially
为什么我周围的绝大多数东北人的家境都比我好，有些甚至好特别多?	Potentially
作为一个沪漂，哪一瞬间被上海人震惊到了？	Potentially
浙江对中西部省份的歧视为什么那么严重？	Potentially
浙江的地域歧视严重吗？	Potentially
我成为程序员后感觉情商变低，怎么办？	Potentially
为什么「工人」和「农民」成了不体面的代名词？	Potentially
我有个问题为什么国家定义程序员新生代农民工，而不是高端或科技人才，这说明程序员门槛低吗？	Potentially
“农民工”，“新生代农民工”的称呼是否具有歧视性？	Potentially
本科护理毕业的护士真的是最不好的职业吗？	Potentially
大理白族人很暴躁吗？	Potentially
请问有回族人念书只能念完小学的规定吗？	Potentially
最近知乎/微博上有很多人在不断的控诉东北的社会现象和东北人，对此你怎么看？	Potentially
我不知道为什么总有很多人骂河南人，到底河南人惹了你们什么地方了？河南人跟你们有仇吗？	Potentially
日本老师几乎每节课都要大骂中国，作为中国留学生该怎么办？	Potentially
作为一名蒙古族，不会说蒙语是什么感受？	Potentially
为什么外蒙对中国人不友好？	Potentially
江西人马上去浙江读书，学校里90%都是浙江人 浙江人会有地域歧视吗看不起江西人吗 有点害怕?	Potentially
我想知道你们对上海人的评价是怎样的？	Potentially
怎么看待东北人？	Potentially
河南人为什么被称作中国的吉普赛人？	Potentially
大家有亲身经历过地域歧视吗?	Potentially
东北人在南方好混吗？	Potentially
建议国际足联把中国男子足球队纳入残疾人比赛.像现在在云南举行的比? 	Potentially
日本人是全世界最受欢迎的？？？？根据英国广播公司（BBC）和加拿 	Potentially
妈妈对这个家没什么感情我觉得妈妈对我和爸爸和她兄弟姐妹完全不一样 	None
这算强奸吗？若女孩子和一个男孩子接触后，她同意到他家里，然后他摸 	Potentially
为什么台湾的连续剧台词都怪怪的，表情也好像挤出来似的，不如香港的? 	Potentially
为什么男人出轨了都死不承认？ 	Potentially
男人的痛，女人不懂女人永远也不知道男人为什么要学会坚强?因为他们 	Potentially
我喜欢闻女人的味道，尤其是内裤缓和乳罩，这正常吗 	Potentially
当前威胁世界和平和稳定的主要因素是1国际恐怖主义活动2民族矛盾与 	None
女人看男人的比赛，不是看比赛是看人女人看男人的比赛、表演，不是看 	Potentially
为什么在我们班上女生成绩总是比男生好？每次不论是任何考试都是女生 	Potentially
为什么男人有钱就变坏，女人变坏就有钱？ 	Potentially
男人在大街上看着一个靓女走过，心里会想哪些事？（有龌龊的念头吗？? 	Potentially
赌英格兰不败！！！不服的进来留名我就不信英格兰会对克罗地亚三连败 	None
小日本的联赛就是神经一个比日本A片还烂，难猜得很。以后再不碰。 	Potentially
和小姐做爱真的很刺激，很爽吗？请男士回答～～为什么很多男人有老婆 	Potentially
面对婚姻危机，为什么女人总是被动？回答者总是劝女人要加倍地关心男 	Potentially
一个男从整天无所事事被女人养着结果结果还打女人，这种男人是有病吗 	Potentially
夫妻男人有老婆还要跟别的女人，而女人有老公也要去偷汉呢？是味道问 	None
愤慨...男人跟女人都进来看下说一个三人故事。一个女孩跟一个男孩 	None
女人越宠越完蛋!不要去宠自己身边的女人..不要宠..越宠她就越来 	Potentially
生个男孩就那么了不起吗？我是山东的，我们这儿重男轻女的思想较严重 	Potentially
男人们你们会心疼吗？如果你的女朋友是处女，第一次做爱的时候她痛， 	None
为什么女的在分手的时候总是会说“不想失去你这个朋友”？这是昨晚和 	Potentially
请男士回答·一个有过性经验史，但是不多并且为前男友流过一个BB被 	Potentially
中国人，你为什么不愤怒？就是这个月，美国脱口秀主持人在节目中采访 	Potentially
男人都色吗？ 	Potentially
是不是每个男人都好色包括男孩？是不是所有的男人都好色，也包括还处 	Potentially
老男人都很龌龊吗?他们都很色吗?他们到底有没真正的爱情呀?还是只 	Potentially
如果中国的青年人都是血性汉子，日本还敢侵略中国吗？多少年来，我们 	Potentially
我说意甲不要脸国米不要脸　你们还不信巴勒莫ＶＳ切塞纳　的例子比过 	Potentially
哪儿的女人最美我是东北人，想娶一位漂亮的女人为妻，想问问大家，哪 	Potentially
当真是温饱思淫欲？大家都看到新闻了，那个挨千刀的“史上最坏流浪汉 	Potentially
我33岁，还是处男，说出来很丢人的，因为以前读书晚，本科毕业都2? 	Potentially
对于男性来说问个不礼貌的问题：是戴绿帽子严重还是结婚时非处女伤害? 	None
男人女人男人幸苦还是女人辛苦 	Potentially
长得怎样的女人克夫？ 	Potentially
为什么男人和女人看异性身体的感受不同？男人是喜欢女人的下面，对女 	Potentially
阴毛性功能！有人说阴毛黄就是肾虚，阴毛黑性功能就VERYGOOD 	Potentially
为什么男人一定要让女人照顾？女人就一定有这义务吗?结婚的男人为什 	Potentially
找女朋友的标准，男人不看后悔一辈子！！！注意！！但凡看完此帖不回 	None
男士们,你们会打自己的女朋友或者老婆吗?什么情况下会这样呢?不可 	Potentially
一个女人有了新男友，一个男人也有了新女友。这个男人和这个女人曾经? 	None
关于台湾老板很多在台湾老板工作的人都觉得他们真的比较抠门.妄想用 	Potentially
性感的女人是不是能更吃得开？性感的女人是不是找工作也更好找？不讲 	Potentially
世上男人.女人.都靠不住.只能靠自已1.男人?叟说纳硖?女人? 	Potentially
大家说说地球上男人和女人不相等的后果严重吗?在今后十年,在已经达 	Potentially
知道柏杨的人与读过《丑陋的中国人》的人请进啊！读过《丑陋的中国人 	Potentially
为什么中国老板剥削自己的同胞比外国老板剥削中国人来得够狠同外企的 	Potentially
成人的世界，不能简单的说谁是坏人，当不触及自身利害的时候，每个人? 	Potentially
内地人学说粤语容易还是广东人学说普通话容易？为何那么多香港演艺届 	Potentially
请问女人你们做爱时会亲男人的乳房吗 	None
