row_index,text,given_label_raw
396,这个女的是不是很瘦，看上去很朴素，生的是个儿子？,None
951,为什么台湾的连续剧台词都怪怪的，表情也好像挤出来似的，不如香港的? ,Potentially
798,日本人是全世界最受欢迎的？？？？根据英国广播公司（BBC）和加拿 ,Potentially
1359,古代那是为了信仰而做的。啥叫无聊事？那是因为你活在21世纪盛行无神论的中国，无法理解而已。 古代这么搞可是有信仰做支撑的。信仰能让人干出很多不可思议的事情。譬如能让绿教的人前赴后继开自爆车，能让印度人心甘情愿做贱民而不去反抗,Potentially
309,我都祖籍河南了，咋可能是维吾尔呢？,Potentially
550,女人体香是怎么回事 ,None
444,心里与生理的双重恐惧与恶心哪怕自己受的了万一有一天被亲朋好友发现了呢？那也差不多社会性死亡了,None
1310,四五千块钱能解决的事，三万+每年资料费水电费一两千，将近十倍的价格，还不让人说天价？ 您家里有钱，河北人均两万五，您一年挣二百五十万，您天天吃三十块钱一斤的面粉大米和五百块钱一斤的猪肉，平价商品都入不了您的法眼,Potentially
2041,期待黑命贵向基督教开火--凭什么天使的翅膀是白色的，恶魔是黑色的？,Potentially
1206,"中国政府真的那么懦弱吗?好像强,又好像弱! ",None
766,guy到底是只指男的还是男女都指？谢谢 ,None
2084,称赞能干就行了，非要贤惠干什么？,Potentially
332,这里部分哪里是臆想，一个存在命题而已，【存在】华工在法国获得了法国女性的青睐，这样子表述你依旧认为不完备吗？,Potentially
357,女孩子不都是白白嫩嫩香香的吗？,None
788,不是处女了，但想珍惜眼前的好男人！我该怎么办？我在大学时候有一个 ,None
313,中国也整天被世界指责环保、威胁论等问题，我们是不是要感激他们？,Potentially
2335,改机制是真的恶心 以前AP蛮易信 AP塞恩 各种换出装 套路 甚至一个英雄选出来他打什么位置你都得想想 然后拳头爸爸不乐意了 这和我们设计的想法不同 就直接把玩法砍没了 真是黑人问号 游戏的乐趣不就是玩法的多样性和不确定性吗？,None
2312,不需要摇号？那北京，上海岂不是赚大发了,Potentially
329,难就不找，离开异性活不了？想想自己有多少钱,None
349,只因怕打针，爸爸狠摔亲生孩子，男子气概？父爱？,None
376,嗓门大？广东老太太谁都不虚，无论在哪里,Potentially
1482,电话诈骗被台湾人发扬光大以后，就在不断升级，所以怎么堵？转账过去之后说我被诈骗了，把钱退回来，那么银行怎么知道你是不是真被骗了？银行能做的也就是对于不明来由的转账问清楚，所有银行柜员都有把给骗子转账的人挡下来的经历。。。。。,Potentially
300,之前谁说的那个年代没女权？,None
384,也确实有很多女的会买耳机啊有问题吗？男的女的都有,None
2035,华为这次确实该骂 P10确实该抵制 但楼主你这样说三星和华为还是有点有失公允 三星怎么突然变成小白兔了？“总是背锅”？ （黑人问号脸） 华为还有自己的5G技术 专利一堆 也不差 三星在其他元件上有话语权 这都不是同一个竞争领域 不方便对比,Potentially
1961,河北一所好大学也没有咯？太tm对了,Potentially
432,大庆不是黑龙江的吗？放眼东北甚至整个中国，有哪个城市敢说自己比大庆更富有？,Potentially
2429,是上海吗？上海恶心叫尼心,Potentially
