Question	Potentially_Pejorative
我的天啊，求求你坦白吧，放过人家	None
话是这样说，但是像我们这样的普信男国女又看不上 不但看不上 还大加嘲讽 结婚彩礼不算车房都要几十万 有些郭楠在部分国女眼里早就被开除人籍了 只有黑皮白皮才是人上人	Potentially
出去旅游到了挺多省份的，感觉当地人都挺好的，哪个地方大部分都是和你我一样的普通人，只不过地域文化不同，大体性格会偏向豪放或内敛，但是根本上差不了太多	None
她没必要这么敏感	None
我190+，但是这种墓垢还是铁鲨鼻	Potentially
笑死，要是刷男女的没人有意见，真就高贵的同性恋呗??	Potentially
居然没有一个拳师冲。	Potentially
征尼大将军	Potentially
这种东西是上面的锅，甩给女性不大好	None
说明现在法制社会啊←_←大家都挺爱护女性的	None
非洲人踢球猛，打篮球更猛，跑步无敌。可是有什么用呢？？？根本没有办法改变国家民族，让大部分人生活的更好。	Potentially
举个例子吧，一家公司要招个保安，结果有9个女人和1个男的应聘。但这家公司能拿出至少十个理由来拒绝掉女的，最终只招了那男人	Potentially
大哥你私信没开	None
别埋汰失足女，跟过黑人的那叫人么，跟动物有啥区别	Potentially
答主回答的时候是不是有些难过啊，抱抱，我们都理解你的	None
为什么啊，我室友就是四川人，她还有很多亲戚在浙江生活工作，我们关系也很好啊，不过也可能是因为我们只是一个小城市的关系。	None
你可真厉害你的虫爹把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进国际鬼子虫类及其它们后代虫混的理由对于你这点居心叵测的小心思我早已看透	Potentially
哈哈哈哈，完全是调侃，男人味是指身上气味大，器大活好是女人认为的，我就顺口这么一说	Potentially
我广东人，说实话广东人和广西人，总体来说的确是丑人多。如果你去过四川，东北这些地方玩过，你会发现这几个地方的平均颜值高广东几个档次	Potentially
本东北人表示的确如此，河南黑吉山东毕竟被黑一个是穷一个是毕竟知名，江西这几年彩礼也风口，至于青海这种地方，你问他青海属于西藏还是新疆，很多人的确会谨慎地二选一的。	Potentially
要把一滴血原则带到中国来	Potentially
我说实话，我膈应，我觉得我的思想还是偏保守，再者我认为讨厌黑人不算是思想保守，只是看见了很多事情之后的一种总结	Potentially
答主是大部分人的想法，很多人潜意识都是不接受的，只是很多人都不敢去表达对于同性恋的态度，随着时代发展，同性恋也越来越敢发声了，我们不能对同性恋有任何意见，有意见就是歧视。同性恋越来越会道德绑架了！	Potentially
我主张拆掉屋顶的时候才有人同意开窗户。	None
你知道你们的主子是怎么评价你们的嘛 “chinese women's pussy smells like dead fish”😆声名远播了属于是，给你们取个新名字吧dead fish girl怎么样🤭	Potentially
为什么我觉得世界女权是在故意抹黑中国女性呢？中国女性中真正的口区女权比例不大吧？为什么要所有中国女性背锅	Potentially
广州就是黑河南、黑北方的总部	Potentially
举报外教从我做起，电商的发展也会把一些垃圾去除，加速才是我们想要的。	Potentially
西安本地作风彪悍的大多是东边某省逃荒过来的后裔	Potentially
好家伙，间接黑了一波北京（玩笑）	Potentially
确实，我同意要自由恋爱，爱情不分人种和肤色，什么?问我女儿要找个黑人怎么办?就当没生过喽	Potentially
默滚出中国就行了。	Potentially
五角场附近的女大学生，基本985了吧？一群女人和黑人留学生玩转盘，比起海天盛宴还刺激，这可是985的女大学生啊，可以英语交流的，我知道你不信，可现实就是如此。🤣	Potentially
艾滋，滥交，犯罪，吸毒贩毒，粘上一样非死即伤。有交往就有潜在风险，大家都是正常人，趋利避害是本能。希望大家努力，打击默的生存空间，让社会光明一点。	Potentially
失足妇女是要钱，可以理解。	Potentially
妇女报是妇联名下的么？	None
女quan真的是要挑起争端吗？大言不惭的攻击郭嘉的执fa制度，明明厌男，却又想结婚找男人要20万的彩礼，讨厌男人还让它的哥哥帮它寻找yan遇。不理解，实在是不理解。搞女quan是为了压榨男性的剩余价值吗？	Potentially
因为一味地忍让换来的是不平等，充了这帮女权，不过说实话我现实中还没见过女权，大部分女的只是有点任性傲气而已。并且还是漂亮的	None
没有世界帮助，非洲还生活在原始社会。	Potentially
女拳挑拨夫妻关系，婆媳关系，甚至挑拨女儿与父母的关系，以拆散家庭为目的，纯属一群变态	Potentially
无艾不是真基	Potentially
怎么大小号都拉黑我了，这就跑了？好怂喔，饭桶吧主就这战力？	None
