"a"	"annotation_id"	"annotator"	"attitude"	"c"	"context"	"created_at"	"datatype"	"group"	"id"	"idx"	"issues"	"lead_time"	"q"	"question_type"	"rating"	"response_attitude"	"response_rhetorical_strategies"	"source"	"topic"	"topics"	"updated_at"
"我想变得优秀起来不是因为自己是同性恋，就算是直男也会努力充实自己，变得优秀起来。"	1702	"8"	1	""	1	"2025-04-24T17:19:34.401996Z"	1	"性少数群体"	455	12435	""	222.83499999999998	"当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？"	"偏见表达"	"[{""rating"":10}]"	"反偏见/正面"	"替代群体"	"CDial"	"性别"	"性傾向"	"2025-05-15T20:37:14.431926Z"
"我想变得优秀起来不是因为自己是同性恋，就算是直男也会努力充实自己，变得优秀起来。"	1619	"5"	1	""	1	"2025-04-24T06:25:02.334760Z"	1	"性少数群体"	455	12435	""	238.35099999999997	"当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？"	"偏见表达"	"[{""rating"":5}]"	"中立无偏"	"替代群体"	"CDial"	"性别"	"性傾向"	"2025-05-01T02:02:02.720072Z"
"我想变得优秀起来不是因为自己是同性恋，就算是直男也会努力充实自己，变得优秀起来。"	1218	"10"	1	""	1	"2025-04-23T06:04:28.435212Z"	1	"性少数群体"	455	12435	""	27.528	"当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？"	"偏见表达"	""	"中立无偏"	""	"CDial"	"性别"	"{""choices"":[""性傾向"",""职业\/教育"",""其他""]}"	"2025-04-23T06:04:28.435250Z"
"我想变得优秀起来不是因为自己是同性恋，就算是直男也会努力充实自己，变得优秀起来。"	464	"9"	1	""	1	"2025-04-16T04:15:54.470663Z"	1	"性少数群体"	455	12435	""	235.45000000000002	"当知道自己是性少数群体后，你做了哪些努力让自己变得更优秀？"	"偏见表达"	"[{""rating"":10}]"	"反偏见/正面"	"替代群体"	"CDial"	"性别"	"性傾向"	"2025-05-15T20:37:26.417245Z"
"同为女生，个人观点，如果你对数据分析有热情的话，女生真的真的很适合。"	2311	"12"	1	""	0	"2025-04-29T15:26:51.232629Z"	1	"女性职业"	456	9264	""	232.274	"做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？"	"偏见表达"	""	"中立无偏"	""	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-04-29T15:26:51.232668Z"
"同为女生，个人观点，如果你对数据分析有热情的话，女生真的真的很适合。"	2299	"11"	1	""	0	"2025-04-29T05:18:56.785484Z"	1	"女性职业"	456	9264	""	59.479	"做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？"	"偏见表达"	"[{""rating"":8}]"	"中立无偏"	"{""choices"":[""替代特质 "",""扩展""]}"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-11T20:30:39.767237Z"
"同为女生，个人观点，如果你对数据分析有热情的话，女生真的真的很适合。"	1638	"5"	1	""	0	"2025-04-24T06:44:25.873274Z"	1	"女性职业"	456	9264	""	140.742	"做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？"	"偏见表达"	"[{""rating"":9}]"	"中立无偏"	"{""choices"":[""反例"",""外部因素""]}"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-01T18:46:18.342753Z"
"同为女生，个人观点，如果你对数据分析有热情的话，女生真的真的很适合。"	460	"8"	1	""	0	"2025-04-16T01:32:53.406373Z"	1	"女性职业"	456	9264	""	420.019	"做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？"	"偏见表达"	""	"中立无偏"	"替代特质 "	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-09T04:32:47.783782Z"
"不要觉得女性就一定比别人差很多！"	1157	"5"	1	""	0	"2025-04-23T05:33:08.968828Z"	2	"女性职业"	457	9155	""	64.128	"做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？"	"偏见表达"	"[{""rating"":2}]"	"反偏见/正面"	"普遍谴责"	"CDial"	"性别"	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-01T18:45:10.473026Z"
"不要觉得女性就一定比别人差很多！"	1142	"10"	1	""	0	"2025-04-23T05:17:33.725855Z"	2	"女性职业"	457	9155	""	18.33	"做数据分析的女孩子，职业发展前景在哪里？数据分析枯燥吗？"	"不相关"	""	""	""	"CDial"	"性别"	""	"2025-04-23T05:17:33.725890Z"
